line,photo_id,perimeter1_cm,width1_cm,heigth1_cm,perimeter2_cm,width2_cm,heigth2_cm,prox_angl_macr,distal_angl_macr,tomat_pericap_area,tomat_pericap_area_ratio,tomat_pericap_thick,tomat_pericap_thick_ratio
147,6742,84.32,16.8,31.41,87.67,17.61,32.41,101.60,112.00,90.94,0.19,1.09,0.20
132,6744,75.96,18.63,25.27,82.09,19.57,26.66,118.30,122.70,73.39,0.18,0.93,0.20
20,6745,69.47,18,23.02,73.99,18.98,24.28,124.00,136.90,65.64,0.18,0.92,0.20
83,6746,74.58,14.73,27.44,80.63,15.52,28.92,108.60,101.70,63.50,0.18,0.81,0.20
119,6748,79.19,15.29,30.22,84.72,16.08,31.85,100.50,88.60,73.25,0.18,0.90,0.20
475,6752,54.12,11.96,19.26,62.29,12.39,20.29,97.30,115.00,35.78,0.18,0.60,0.20
304,6753,74.15,19.1,24.71,79.59,20.01,26.01,124.60,126.60,50.82,0.12,0.66,0.20
311,6756,76.99,20.85,23.45,79.57,21.72,24.67,148.30,143.20,100.53,0.23,1.33,0.20
150,6757,66.93,18.04,21.56,70.45,18.95,22.80,115.40,133.00,66.58,0.20,0.99,0.20
154,6760,94.21,20,33.33,98.04,21.10,35.11,107.00,109.10,39.03,0.06,0.40,0.20
459,6761,72.32,19.31,23.05,76.37,20.32,24.14,131.70,141.50,70.84,0.18,0.97,0.20
6,6763,91.59,25.14,28.31,96.33,26.49,29.81,147.70,142.40,125.96,0.19,1.37,0.20
307,6764,72.49,19.4,23.55,76.25,20.77,24.76,124.90,137.50,79.23,0.19,1.09,0.20
440,6765,87.99,20.06,31.75,92.94,21.10,33.44,114.20,99.20,126.21,0.23,1.43,0.20
130,6766,64.04,16.03,21.64,68.59,16.80,22.86,121.60,128.60,43.59,0.14,0.65,0.20
121,6767,74.95,18.28,25.61,78.94,19.20,26.96,121.00,125.70,81.78,0.19,1.08,0.20
122,6768,75.77,17.01,26.86,80.20,17.84,28.25,109.50,117.90,94.85,0.23,1.25,0.20
436,6769,78.02,22.28,23.49,81.98,23.39,24.76,148.20,147.70,99.99,0.21,1.28,0.20
261,6771,92.34,18.6,33.94,96.62,19.59,35.78,93.40,105.80,47.89,0.08,0.50,0.20
149,6774,61.19,15.74,19.87,64.18,16.50,20.77,142.20,132.20,38.80,0.14,0.62,0.20
310,6775,90.16,18.07,34.42,95.15,19.01,36.23,99.90,89.60,94.85,0.18,1.04,0.20
478,6777,83.91,16.72,32.09,87.73,17.56,33.75,101.10,69.90,64.29,0.14,0.76,0.20
301,6778,56.49,12.27,20.96,64.51,12.92,22.08,104.50,105.20,40.44,0.18,0.65,0.20
148,6779,66.56,17.97,21.59,79.40,20.54,25.65,125.60,144.60,60.36,0.14,0.78,0.20
281,6780,60.95,16.64,19.24,65.06,17.56,20.26,143.10,141.00,50.50,0.18,0.81,0.20
462,6781,65.49,16.66,20.98,68.37,17.56,21.69,130.90,136.60,54.73,0.18,0.83,0.20
449,6783,76.48,15.02,28.92,80.72,16.11,30.26,102.10,96.40,69.17,0.18,0.89,0.20
142,6784,70.54,18.86,22.73,74.71,19.85,23.98,131.40,134.50,53.51,0.14,0.74,0.20
124,6785,76.69,18.09,26.04,80.91,19.01,27.44,123.60,120.60,85.49,0.19,1.11,0.20
117,6786,74.19,20.29,23.34,78.30,21.27,24.53,142.40,144.40,89.66,0.21,1.20,0.20
269,6787,76.51,19.13,25.85,81.12,20.04,27.24,128.70,126.90,93.18,0.21,1.21,0.20
91,6791,71.73,19.02,22.6,76.06,20.01,23.78,148.20,140.90,76.94,0.19,1.06,0.20
106,6793,79.19,20.93,20.51,83.23,21.99,26.82,136.60,137.90,93.22,0.19,1.17,0.20
279,6794,82.33,21.51,26.78,86.21,22.64,28.19,128.80,137.50,118.91,0.23,1.46,0.20
442,6797,77.96,15.43,29.45,83.58,16.30,31.07,99.00,98.60,66.09,0.16,0.82,0.20
455,6798,51.78,11.64,18.55,60.58,12.23,19.62,108.60,112.60,16.78,0.09,0.28,0.20
283,6799,81.7,18.73,28.76,86.74,19.62,30.17,121.80,111.10,85.07,0.18,1.02,0.20
466,6800,86.09,21.09,28.92,90.70,22.22,30.45,126.90,127.90,77.19,0.14,0.88,0.20
300,6803,80.42,21.29,24.79,82.18,22.41,25.71,138.10,145.50,98.88,0.21,1.26,0.20
456,6804,68.57,18.42,22.01,72.36,19.34,23.17,139.50,136.50,70.69,0.19,1.02,0.20
468,6805,68.23,18.73,21.46,72.32,19.62,22.58,138.60,27.30,50.31,0.14,0.72,0.20
39,6810,82.97,18.92,29.58,86.16,19.57,31.12,105.90,108.80,85.34,0.18,1.03,0.20
66,6811,68.08,17.3,21.03,69.56,18.20,22.08,129.70,137.60,57.42,0.18,0.86,0.20
93,6812,65.16,16.43,20.35,67.54,17.17,21.44,121.70,138.20,41.98,0.14,0.64,0.20
75,6813,86.08,19.15,29.37,89.23,19.87,30.95,108.00,128.30,79.42,0.16,0.92,0.20
101,6814,73.25,18.26,23.81,73.97,19.15,25.01,113.40,127.80,84.95,0.23,1.21,0.20
69,6815,74.69,18.92,24.42,79.19,19.93,25.71,125.30,144.90,97.09,0.23,1.30,0.20
53,6817,71.76,19.18,23.42,75.57,20.18,24.59,127.20,134.20,90.60,0.23,1.26,0.20
54,6818,79.49,19.84,26.51,83.99,20.85,27.88,125.60,129.30,83.76,0.18,1.04,0.20
805,6824,72.73,15.77,26.33,81.26,16.61,27.74,113.10,99.00,56.58,0.16,0.72,0.19
766,6826,89.67,19.5,30.67,92.62,20.49,32.18,117.00,119.10,87.54,0.16,0.98,0.20
255,6828,76.85,18.07,25.56,78.22,18.98,26.68,121.00,127.70,79.05,0.19,1.06,0.20
650,6830,71.75,18.83,23.25,77.83,19.54,24.81,131.20,138.20,75.28,0.19,1.01,0.20
851,6831,88.9,22.7,28.92,93.38,23.86,30.40,134.40,133.00,126.70,0.21,1.42,0.20
581,6833,71.33,15.72,26.41,75.32,16.50,27.66,103.20,94.30,70.43,0.20,0.98,0.20
794,6834,62.94,15.58,21.91,66.89,16.27,22.86,121.00,113.90,50.37,0.18,0.78,0.21
835,6836,65.64,17.99,20.87,69.71,18.81,21.77,136.40,141.70,52.74,0.16,0.78,0.20
817,6838,66.41,17.44,21.4,70.05,18.23,22.50,139.70,143.80,53.35,0.16,0.79,0.20
580,6841,94.44,22.11,33.68,98.71,23.25,34.67,123.10,106.10,125.68,0.19,1.33,0.20
623,6845,81.64,22.52,25.61,85.92,23.70,26.96,135.50,145.40,80.78,0.16,0.97,0.20
649,6846,88.7,19.9,31.88,92.38,20.88,32.88,115.50,100.80,86.46,0.16,0.97,0.20
837,6847,90.99,21.83,30.64,95.10,22.83,32.18,128.10,132.50,118.90,0.19,1.31,0.20
762,6848,63.2,15.85,21.38,75.34,16.66,22.50,123.80,118.60,46.86,0.16,0.65,0.20
874,6849,73.2,20.24,22.36,76.44,21.30,23.42,149.90,150.00,85.73,0.21,1.18,0.20
791,6851,88.03,19.21,31.38,92.44,20.18,33.02,100.70,120.90,104.76,0.19,1.18,0.20
670,6852,57.74,11.72,22.03,63.93,12.28,23.03,98.20,88.00,14.60,0.07,0.23,0.20
406,6853,91.77,21.83,32.12,96.99,22.86,33.80,105.70,132.70,109.85,0.17,1.18,0.20
593,6857,92.7,20.61,33.42,97.44,21.66,35.00,115.20,102.00,107.15,0.18,1.14,0.20
831,6858,69.83,16.75,23.44,73.68,17.58,24.51,130.20,131.80,56.88,0.16,0.80,0.20
430,6859,74.31,18.11,23.28,74.99,18.87,24.65,135.00,127.00,73.71,0.19,1.03,0.20
760,6861,81.24,21.29,26.99,84.52,22.30,28.05,136.70,115.70,85.77,0.18,1.06,0.20
427,6862,92.07,21.3,32.25,97.00,22.36,33.94,124.80,114.40,121.32,0.19,1.31,0.20
641,6863,73.86,16.67,26.22,78.15,17.50,27.41,108.00,120.50,69.66,0.18,0.93,0.20
228,6866,70.59,17.38,23.5,74.37,18.20,24.67,137.50,125.90,65.30,0.18,0.92,0.20
604,6867,80.91,18.57,27.83,85.93,19.48,29.36,123.90,120.20,74.82,0.16,0.90,0.20
796,6868,75.28,18.97,25,78.79,19.90,25.99,138.20,122.70,74.89,0.18,0.99,0.20
630,6869,66.11,16.98,21.78,70.18,17.84,22.89,131.30,132.10,64.76,0.20,0.97,0.20
764,6870,79,16.35,28.99,83.01,17.19,30.56,99.40,93.70,65.27,0.16,0.81,0.20
583,6872,61.37,15.29,20.53,65.87,16.11,21.38,127.10,131.60,54.97,0.20,0.87,0.20
829,6873,87.03,22.04,28.52,91.93,23.22,30.03,136.60,134.90,90.85,0.16,1.02,0.20
616,6874,80.67,14.86,31.06,87.17,15.60,32.69,97.40,90.90,64.17,0.16,0.76,0.20
844,6875,55.98,15.85,17.52,60.39,16.64,18.28,141.80,138.70,47.40,0.20,0.82,0.20
624,6876,70.26,17.41,23.34,73.98,18.25,24.45,121.00,134.60,63.86,0.18,0.90,0.20
233,6879,77.2,20.35,25.24,81.24,21.30,26.27,134.00,136.30,70.94,0.16,0.90,0.20
607,6880,73.73,20.29,23.15,77.34,21.27,24.17,136.90,147.20,73.19,0.18,0.98,0.20
827,6881,77.8,20.08,25.03,81.51,20.99,26.13,133.40,133.40,77.97,0.18,0.99,0.20
781,6884,62.38,15.39,21.22,67.18,16.13,22.22,120.00,127.60,51.67,0.18,0.80,0.20
765,6885,60.25,14.31,20.69,70.33,14.88,21.80,122.10,122.50,51.79,0.20,0.77,0.20
823,6891,72.47,18.94,23.81,76.59,19.96,24.93,133.90,140.50,77.53,0.19,1.06,0.20
870,6893,81.11,19.58,27.91,85.42,20.57,29.31,122.80,121.70,93.80,0.19,1.15,0.20
575,6894,64.22,17.38,20.79,69.87,18.34,21.97,130.30,139.80,62.73,0.20,0.94,0.20
586,6899,78.33,16.75,28.42,82.32,17.56,29.84,107.10,105.80,84.16,0.19,1.07,0.20
656,6900,77.87,15.85,28.92,81.60,16.64,30.23,101.90,106.60,79.62,0.19,1.02,0.20
673,6901,85.51,17.3,31.86,89.71,18.20,33.27,98.70,106.40,96.61,0.19,1.13,0.20
785,6903,69.93,17.7,20.82,69.66,18.62,21.88,132.10,142.50,64.26,0.20,0.96,0.20
400,6904,79.4,15.56,29.6,83.23,16.36,31.09,89.60,99.50,95.09,0.23,1.20,0.20
709,6905,73.29,18.31,25.24,77.31,19.29,26.13,121.60,37.30,76.79,0.19,1.04,0.20
226,6909,77.72,18.89,26.06,81.86,19.87,27.49,117.90,130.40,83.39,0.19,1.06,0.20
354,6910,69.3,17.81,22.99,73.41,18.73,24.23,120.60,138.70,78.00,0.21,1.12,0.20
738,6911,74.51,20.37,23.47,78.65,21.32,24.70,135.30,138.50,82.29,0.19,1.09,0.20
185,6915,82.54,19.82,28.52,88.17,20.82,30.01,120.40,129.30,98.44,0.19,1.17,0.20
194,6916,72.94,17.78,24.24,75.29,18.67,25.48,127.60,121.20,74.66,0.19,1.04,0.20
758,6917,77.06,20.27,25.35,81.52,21.30,26.68,135.20,121.10,88.99,0.19,1.14,0.20
742,6919,96.16,23.94,32.41,100.27,25.18,33.61,131.00,126.80,133.08,0.19,1.39,0.20
219,6926,71.9,17.94,24.05,75.85,18.87,25.34,129.40,125.20,75.80,0.19,1.05,0.20
361,6927,82.45,19.45,28.73,86.74,20.49,30.06,124.20,116.30,105.71,0.21,1.28,0.20
391,6928,73.01,20.32,22.3,76.05,21.35,23.17,144.20,147.10,85.23,0.21,1.18,0.20
750,6930,87.23,18.07,32.89,91.68,19.01,34.61,97.60,81.80,99.80,0.19,1.14,0.20
573,6931,88.19,22.38,29.32,92.70,23.59,30.70,128.70,132.20,114.64,0.19,1.29,0.20
753,6933,66.64,17.89,21.43,70.12,18.84,22.55,128.30,122.90,58.39,0.18,0.87,0.20
749,6934,87.51,23.2,27.62,90.85,24.45,29.06,140.90,130.80,108.69,0.19,1.25,0.20
166,6936,65.15,17.59,20.61,68.62,18.53,21.49,138.20,140.90,57.19,0.18,0.87,0.20
204,6938,65.55,16.48,21.59,68.26,17.33,22.19,135.70,137.90,62.20,0.20,0.95,0.20
743,6939,87.97,19.47,31.27,92.86,20.57,32.96,111.40,108.40,107.47,0.19,1.21,0.20
728,6943,75.04,20.72,23.97,79.69,21.80,25.26,134.70,132.60,85.49,0.19,1.12,0.20
525,6946,62.45,15.35,21.17,67.05,16.16,22.27,129.70,124.80,57.73,0.20,0.90,0.20
712,6950,64.47,16.19,21.62,67.98,17.00,22.58,130.80,122.40,59.89,0.20,0.92,0.20
317,6952,82.86,18.79,21.62,87.00,21.72,29.11,126.30,133.80,100.56,0.19,1.21,0.20
321,6953,70.42,18.15,23.07,74.90,19.09,24.34,130.90,124.00,73.07,0.19,1.02,0.20
741,6956,91.49,19.02,33.31,95.57,20.04,35.28,114.00,98.80,110.40,0.19,1.21,0.20
529,6958,69.95,17.3,23.81,73.84,18.20,24.93,126.90,121.70,72.33,0.19,1.02,0.20
711,6960,88.7,22.86,24.77,93.93,24.12,30.90,118.60,142.20,137.02,0.23,1.54,0.20
524,6961,94.63,21.33,33.79,99.03,22.41,35.53,111.30,108.60,133.79,0.21,1.42,0.20
686,6963,88,20.93,30.14,92.26,22.02,31.79,124.70,112.00,109.74,0.19,1.24,0.20
682,6966,74.39,20.69,23.99,78.61,21.77,25.29,130.60,136.50,83.39,0.19,1.11,0.20
717,6970,89.83,20.74,31.61,98.76,21.86,33.27,118.90,120.80,129.37,0.23,1.40,0.20
367,6972,75.15,15.93,26.51,77.65,16.80,28.00,110.20,103.70,75.22,0.19,1.01,0.20
359,6973,90.57,18.33,33.89,95.57,19.45,35.62,101.10,88.60,104.90,0.19,1.15,0.20
360,6974,91.12,14.79,26.33,81.49,16.83,29.87,111.00,76.30,76.62,0.19,0.98,0.20
358,6975,82.67,18.08,29.37,84.94,18.48,30.87,106.00,103.80,71.51,0.16,0.87,0.20
748,6980,68.87,14.98,24.82,71.71,15.77,26.07,110.60,89.40,62.24,0.20,0.91,0.20
345,6981,80.15,16.61,29.63,84.77,17.47,31.40,90.60,99.40,84.74,0.19,1.04,0.20
510,6982,69.59,19.11,22.06,73.36,20.10,23.25,147.80,134.30,72.83,0.19,1.04,0.20
355,6988,91.69,19.21,33.17,95.38,20.24,34.92,108.60,93.50,109.23,0.19,1.20,0.20
320,6989,82.4,21.14,26.19,84.16,22.22,27.58,133.10,125.60,94.63,0.19,1.17,0.20
189,6991,73.72,16.48,25.35,75.73,17.25,26.57,110.00,125.60,79.88,0.21,1.11,0.20
495,6994,74.76,21.01,22.36,78.44,21.99,23.53,151.80,148.40,82.68,0.19,1.10,0.20
484,6995,83.75,19.02,28.36,87.96,20.01,29.81,124.30,128.90,115.52,0.23,1.39,0.20
342,7000,64.9,15.69,22.41,69.00,16.52,23.59,124.70,112.60,49.74,0.16,0.75,0.20
193,7005,70.99,16.88,25.27,74.37,17.58,26.60,122.50,88.00,63.03,0.18,0.88,0.20
565,7009,75.75,17.91,25.95,79.99,18.84,27.33,123.80,124.40,83.27,0.19,1.09,0.20
560,7010,68.56,18.81,20.9,71.48,19.68,21.99,140.00,140.00,68.62,0.19,1.00,0.20
217,7011,48.51,14.44,14.39,52.79,15.18,15.13,123.30,139.10,31.69,0.18,0.63,0.20
176,7013,69.21,17.14,23.15,72.24,17.95,24.31,128.60,128.00,69.07,0.19,1.00,0.20
363,7014,86.78,23.57,27.36,91.23,24.81,28.81,132.90,143.80,112.85,0.19,1.29,0.20
1042,7157,65.63,16.03,21.35,68.67,16.86,22.44,123.90,112.30,64.01,0.21,0.98,0.20
